flight_id,flight_number,origin,destination,departure_date,departure_time,total_seats
1,BA136,Madrid,Toronto,2025-12-18,12:09,161
2,BA136,Berlin,New York,2025-11-26,05:30,227
3,BA178,London,Sydney,2025-12-26,21:27,161
4,BA138,Madrid,Singapore,2025-12-12,08:46,159
5,BA193,Madrid,Singapore,2025-12-21,00:27,180
6,BA148,Amsterdam,Dubai,2025-12-13,14:20,120
7,BA141,Madrid,Sydney,2025-11-26,21:15,260
8,BA193,Madrid,Sydney,2025-12-23,13:54,229
9,BA100,Dublin,Sydney,2025-12-05,16:00,164
10,BA136,Rome,Toronto,2025-12-16,06:12,224
11,BA117,Dublin,Dubai,2025-12-12,16:47,174
12,BA196,Amsterdam,Tokyo,2025-12-16,11:13,231
13,BA169,Berlin,Toronto,2025-11-26,02:34,259
14,BA156,Madrid,New York,2025-12-03,18:26,121
15,BA124,Madrid,Sydney,2025-11-30,09:21,272
16,BA126,Amsterdam,Dubai,2025-11-21,17:26,219
17,BA180,Dublin,Sydney,2025-12-06,04:44,118
18,BA153,Amsterdam,Singapore,2025-12-22,17:56,125
19,BA183,Dublin,Toronto,2025-12-26,10:03,237
20,BA118,Berlin,Sydney,2025-12-01,14:51,176
21,BA188,Madrid,Dubai,2025-12-07,12:34,188
22,BA184,Dublin,Dubai,2025-11-23,18:48,132
23,BA176,Dublin,Singapore,2025-11-24,20:08,108
24,BA118,Rome,Singapore,2025-11-18,14:40,114
25,BA125,Paris,New York,2025-11-27,13:52,130
26,BA108,Madrid,Dubai,2025-11-26,23:08,277
27,BA160,London,Dubai,2025-12-28,22:37,278
28,BA156,Amsterdam,Dubai,2025-11-28,00:00,195
29,BA168,Paris,New York,2025-12-23,19:37,148
30,BA168,Amsterdam,Dubai,2025-11-25,07:03,224
31,BA161,London,Singapore,2025-11-27,08:56,206
32,BA159,Paris,Sydney,2025-11-20,16:24,255
33,BA142,Madrid,Singapore,2025-12-23,14:05,203
34,BA189,Dublin,Tokyo,2025-11-21,06:02,151
35,BA124,Berlin,Tokyo,2025-12-10,03:10,207
36,BA102,Dublin,Singapore,2025-11-23,22:31,169
37,BA107,Amsterdam,Sydney,2025-11-26,09:22,119
38,BA142,London,Sydney,2025-12-01,01:17,235
39,BA118,Madrid,Tokyo,2025-11-21,01:48,204
40,BA133,Paris,Singapore,2025-12-02,18:14,150
41,BA103,Madrid,New York,2025-12-30,19:04,231
42,BA157,Paris,Tokyo,2025-12-27,07:27,239
43,BA169,Dublin,Toronto,2025-12-16,21:08,111
44,BA126,Rome,Singapore,2025-12-13,04:11,209
45,BA185,Amsterdam,Singapore,2025-11-18,07:03,191
46,BA105,London,Tokyo,2025-12-09,23:12,121
47,BA145,London,New York,2025-12-12,18:51,269
48,BA195,Amsterdam,Dubai,2025-11-22,21:52,250
49,BA121,Rome,Dubai,2025-11-22,23:32,287
50,BA170,Madrid,Dubai,2025-11-20,13:43,232
